,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
633,La Font del Gat,"PG. SANTA MADRONA, 28",el Poble-sec,MEDITERRANEO,None,No,None,0.0,0,26,2.15772,41.36795
634,La Forchetta,"AV. MERIDIANA, 2",el Parc i la Llacuna del Poblenou,ITALIANO,Abierto,Si,33.75,8.9,214,20,2.18718,41.39205
635,La Forquilla de Fusta,"C. VALENCIA, 350",la Dreta de l'Eixample,MEDITERRANEO,None,Si,5.7,0.0,0,15,2.16955,41.39727
636,La Gambeta,"C. FUSINA, 3","Sant Pere, Santa Caterina i la Ribera",ARROCERIA,None,Si,9.0,9.3,4296,30,2.18287,41.38626
637,La Garchetta,"C. PUJADES, 445",el Besòs i el Maresme,MEDITERRANEO,Abierto,Si,13.5,0.0,0,15,2.21568,41.41308
638,La Garriga,"C. MALLORCA, 272",la Dreta de l'Eixample,CATALAN,Abierto,Si,4.14,9.1,178,28,2.16448,41.39514
639,La Gormanda,"C. ARIBAU, 160",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,7.95,9.3,332,40,2.15425,41.39245
640,La Gárgola,"C. ENTENÇA, 332",les Corts,CATALAN,None,No,None,0.0,0,20,2.13786,41.39033
641,La Isabela - Hotel 1898,"C. RAMBLA, 109",el Raval,MEDITERRANEO,None,No,None,0.0,0,30,2.1712,41.38351
642,La Jacaranda del Dos Torres,"VIA. AUGUSTA, 300",les Tres Torres,MEDITERRANEO,None,No,None,0.0,0,25,2.1287,41.39795
643,La Llimona,"C. CONSTANÇA, 6",les Corts,ESPAÑOL,None,Si,12.0,0.0,0,19,2.13627,41.38794
644,La Lluna,"C. SANT BONAVENTURA, 7",el Barri Gòtic,MEDITERRANEO,None,No,None,8.6,273,25,2.1718,41.38522
645,La Lolita,"RBLA. CATALUNYA, 27",la Dreta de l'Eixample,MEDITERRANEO,Abierto,Si,48.6,9.0,2036,25,2.16595,41.38908
646,La Lonja,"AV. JOSEP TARRADELLAS, 60",la Nova Esquerra de l'Eixample,MEDITERRANEO,Sin información,Si,10.5,8.9,5,30,2.14291,41.38515
647,La Lubina,"C. VILADOMAT, 257",la Nova Esquerra de l'Eixample,ARROCERIA,Sin información,Si,4.8,9.2,351,30,2.14796,41.38662
648,La Mama Acasa,"C. GUITARD, 41",Sants,ESTE,None,No,None,0.0,0,18,2.13775,41.38217
649,La Mar Bella,"C. TAULAT, 81",el Poblenou,ARROCERIA,None,Si,13.5,8.7,117,25,2.20438,41.3985
650,La Mar Salada,"PG. JOAN BORBO COMTE BARCELONA, 58",la Barceloneta,MARISQUERIA,None,Si,45.0,0.0,0,27,2.18892,41.37677
651,La Marimba,"C. PAU CLARIS, 128",la Dreta de l'Eixample,MEDITERRANEO,Abierto,Si,8.55,9.1,29,20,2.16697,41.39301
652,La Mesa de Ángel León,"PG. GRACIA, 38",la Dreta de l'Eixample,CREATIVO,Abierto,No,None,0.0,0,27,2.16666,41.3912
653,La Montiel37,"C. VILADOMAT, 37",Sant Antoni,MEDITERRANEO,None,Si,9.0,0.0,0,20,2.16109,41.37667
654,La Mostra,"C. RIERA DE SANT MIQUEL, 11",la Vila de Gràcia,ESPAÑOL,None,No,None,0.0,0,65,2.15733,41.3973
