Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
BAKE TAKE,CL,BAILEN,151,08037,41.40000,2.16653,BARCELONA,Abierto con normalidad,2020-12-30
BARCELONA II,CL,VILAPICINA,35,08031,41.42994,2.17099,BARCELONA,Abierto con normalidad,2020-12-14
"RTE.L'ENTRECLOT",CR,CONCILI DE TRENTO,50,08018,41.41176,2.19326,BARCELONA,Abierto con normalidad,2021-04-27
HEALTHY POKE BARCELONA,CL,ZAMORA,103,08018,41.39627,2.18942,BARCELONA,Abierto con normalidad,2021-04-26
BAR CALDERS,CR,PARLAMENT,25,08015,41.37637,2.16244,BARCELONA,Abierto con normalidad,2021-04-27
WOKARIBE,CL,EIXIMENIS,11,08030,41.44064,2.18942,BARCELONA,Cierre definitivo por Covid,2021-01-20
HAPPY FORUM,RB,PRIM,25,08019,41.41212,2.21794,BARCELONA,Abierto con normalidad,2021-04-28
BOCATO FORN DE PA,RDA,GUINARDO,32,08025,41.41185,2.16550,BARCELONA,Cierre definitivo por Covid,2021-03-26
FISHPAC,CL,LAFORJA,95,08021,41.39579,2.14420,BARCELONA,Abierto con normalidad,2021-04-29
FEDERAL POBLENOU,CL,TAULAT,109,08005,41.39962,2.20589,BARCELONA,Abierto con normalidad,2021-04-26
REY ESTAMBUL,RDA,SANT ANTONI,21,08011,41.38090,2.16350,BARCELONA,Abierto con normalidad,2021-03-11
BON TIBERI,CL,CARTELLA,15,08031,41.42726,2.17435,BARCELONA,Abierto con normalidad,2021-04-29
LIBRERIA ZURICH,PS,BONANOVA,60,08017,41.40306,2.12703,BARCELONA,Cierre definitivo por Covid,2020-12-18
RAMEN SHIFU,AV,PARAL.LEL,130,08015,41.37505,2.16143,BARCELONA,Abierto con normalidad,2021-04-21
HYADI SUPERMERCAT,PZ,ZURBARAN,7,08035,41.42986,2.14333,BARCELONA,Abierto con normalidad,2021-03-12
SUPERMERKET SANT FERRAN,CL,SANT FERRAN,10,08031,41.42843,2.17166,BARCELONA,Abierto con normalidad,2021-04-09
DIAGONAL FU,CL,PALLARS,377,08019,41.40896,2.20817,BARCELONA,Abierto con normalidad,2021-04-29
EL TEMPLO,CL,DIPUTACIO,160,08011,41.38355,2.15789,BARCELONA,Abierto con normalidad,2021-04-28
FISER,CL,MUNTANER,248,08021,41.39458,2.14882,BARCELONA,Abierto con normalidad,2021-04-26
DA ANTONIO,CL,VALLMAJOR,33,08021,41.40093,2.13872,BARCELONA,Abierto con normalidad,2021-04-28
SUPERMERCAT 259,RDA,GENERAL MITRE,259,08023,41.40620,2.14854,BARCELONA,Abierto con normalidad,2021-04-30
FORN DE PA SUPER,CL,DANTE ALIGHIERI,59,08032,41.42800,2.15900,BARCELONA,Abierto con normalidad,2020-12-07
BOCA ¡ BOCA,PS,FABRA I PUIG,211,08016,41.43031,2.17604,BARCELONA,Abierto con normalidad,2021-04-28
LA RETRO VERMUTERIA,CL,MIQUEL FERRA,1,08031,41.43001,2.17285,BARCELONA,Abierto con normalidad,2021-04-28
TAKSIN LOUNCH,CL,ESCUDELLERS,5,08002,41.37913,2.17591,BARCELONA,Cerrado estacional,2020-12-18
RESTAURANTE LA RUANA,CL,ROSSELLO,400,08025,41.40511,2.17304,BARCELONA,Abierto con normalidad,2021-02-10
BAR YUAN,CL,CLOT,89,08018,41.40929,2.18882,BARCELONA,Abierto con normalidad,2021-04-28
BOLDU GLORIES,AV,DIAGONAL,208,08018,41.40488,2.19252,BARCELONA,Abierto con normalidad,2021-04-28
