nombre,cocina,direccion,rating,num_opiniones,precio
Ootoyasushi,ASIÁTICO,"Carrer de l'Ajuntament, 1, 08030, Barcelona",8.8,1343,15
Solo Pizza,Welcome,"Carrer d'Enric Granados, 108, 08008, Barcelona",9.6,1067,25
Metric Market,MEDITERRÁNEO,"Avinguda Diagonal, 505, 08029, Barcelona",8.9,1637,25
Konkai Sushi,JAPONÉS,"Carrer de Roger de Flor, 222, 08013, Barcelona",8.8,588,16
Segons Mercat - Aribau,MEDITERRÁNEO,"Carrer d'Aribau, 3 Bis, 08011, Barcelona",8.6,1905,20
El Martinet,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 552, 08011, Barcelona",9.5,5085,25
Can Saia,MEDITERRÁNEO,"Carrer del Bruc, 157, 08037, Barcelona",9.3,339,35
La Plassohla,MARISQUERÍA,"Vía Laietana, 49, 08003, Barcelona",8.9,804,30
La Palmera,MEDITERRÁNEO,"C/ Enric Granados, 57, 08008, Barcelona",9.5,651,33
Matsuya,JAPONÉS,"Carrer del Dr. Ibáñez, 12, 08014, Barcelona",8.6,139,18
Notariat,€,"Carrer del Pintor Fortuny, 22, 08001, Barcelona",8.7,80,15
Can Reixes,MEDITERRÁNEO,"Plaça Reial, 12, 08002, Barcelona",0.0,0,30
Barcino,MEDITERRÁNEO,"Rambla de Catalunya, 13, Barcelona, Spain, 08007, Barcelona",8.7,685,25
2Y Restaurante Macrobiótico y Vegano,VEGETARIANO,"Passatge de Batlló, 4, 08036, Barcelona",9.6,425,11
Casa Jordi,CATALÁN,"Pasaje Marimón, 18, 08021, Barcelona",9.5,665,30
Meatpacking Barcelona,AMERICANO,"Carrer d'Atenes, 42, 08006, Barcelona",0.0,3,20
Komai Sushi Bar & Restaurant,JAPONÉS,"Avinguda Diagonal, 40, 08019, Barcelona",8.9,25,15
Picasso,MEDITERRÁNEO,"Carrer de Mallorca, 422, 08013, Barcelona",9.0,33,22
Tosca del carme,ESPAÑOL,"Carrer del Carme, 40, 08001, Barcelona",9.1,13,15
Melic del Gòtic,MEDITERRÁNEO,"Carrer de Montsió, 7, 08002, Barcelona",9.0,23,20
La Vietnamita - Born,ASIÁTICO,"Carrer del Comerç, 17, 08003, Barcelona",8.8,67,18
Sintonia,MEDITERRÁNEO,"Carrer del Rosselló, 249, 08008, Barcelona",9.4,269,35
Pizzería Alson,€,"Carrer de Tamarit, 82, 08004, Barcelona",8.8,276,15
Ootoyasushi,ASIÁTICO,"Carrer de l'Ajuntament, 1, 08030, Barcelona",8.8,1343,15
Musiú,ITALIANO,"Carrer de Pau Claris, 112, 08009, Barcelona",9.4,1024,12
Món Việt,VIETNAMITA,"Carrer de Sepúlveda, 94, 08015, Barcelona",9.3,968,17
El Refugi,MEDITERRÁNEO,"Carrer de Rogent, 18, 08026, Barcelona",9.7,34,30
Metric Market,MEDITERRÁNEO,"Avinguda Diagonal, 505, 08029, Barcelona",8.9,1637,25
Segons Mercat - Aribau,MEDITERRÁNEO,"Carrer d'Aribau, 3 Bis, 08011, Barcelona",8.6,1905,20
El Martinet,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 552, 08011, Barcelona",9.5,5085,25
Can Saia,MEDITERRÁNEO,"Carrer del Bruc, 157, 08037, Barcelona",9.3,339,35
La Palmera,MEDITERRÁNEO,"C/ Enric Granados, 57, 08008, Barcelona",9.5,651,33
El Modernista,CATALÁN,"Passeig de Garcia Fària, 29, 08005, Barcelona",8.4,313,25
Tapa Tapa - Maremagnum,MEDITERRÁNEO,"Moll d'Espanya, 5, 08039, Barcelona",8.7,75,11
Notariat,€,"Carrer del Pintor Fortuny, 22, 08001, Barcelona",8.7,80,15
Ostaia Cucina Italiana,ITALIANO,"Carrer d'Aribau, 58, 08011, Barcelona",9.5,813,20
Makekosa - Pizzería Gourmet,ITALIANO,"Carrer de Floridablanca, 102, 08015, Barcelona",9.5,437,27
SAGARDI BCN Centre,VASCO,"Carrer de Muntaner, 70-72, 08011, Barcelona",9.6,291,40
Can Cargol,MEDITERRÁNEO,"Calle Valencia, 324, 08009, Barcelona",8.7,441,20
Negronix Bar,INTERNACIONAL,"Carrer de Trinxant, 125, 08041, Barcelona",9.0,48,20
Restaurante Sushi taller,JAPONÉS,"Carrer de Bigai, 4, 08022, Barcelona",8.9,96,15
Adil tandoori restaurante,INDIO,"Carrer de l'Est, 9, 08001, Barcelona",9.1,37,15
KoHaku,ASIÁTICO,"Carrer d'Alfons XII, 34, 08006, Barcelona",8.9,355,60
Saó BCN,MEDITERRÁNEO,"Carrer de Cesare Cantú, 2, 08023, Barcelona",9.7,216,25
Cafè Godot,MEDITERRÁNEO,"Carrer de Sant Domènec, 19, 08012, Barcelona",9.5,271,30
La Cuina de Laietana,MEDITERRÁNEO,"Via Laietana, 71, 08003, Barcelona",9.2,390,25
